NAME	GS.SIZE	ES	NES	NOM.p.val	FDR.q.val	FWER.p.val
GO:0002181	152	0.925681865695609	2.00234493580632	2.3627878153518e-10	1.4030234047559e-06	1.31470488336312e-06
GO:0002819	175	0.864606798427047	1.90716190051142	1.4671987954429e-06	0.00307753834050077	0.00288381125452254
GO:0042254	298	0.802801463000901	1.87886405602381	1.55483580692191e-06	0.00307753834050077	0.00288381125452254
GO:0006364	221	0.842609167095555	1.92263242554573	4.24900598624825e-06	0.00630764938658553	0.00591059095876533
GO:0002708	102	0.911494684876596	1.91785028307567	1.05886895404029e-05	0.00785945481136405	0.00736471222507496
GO:0002822	159	0.869214357120072	1.88625309083628	8.64070864876669e-06	0.00785945481136405	0.00736471222507496
GO:0002706	150	0.87584908116612	1.88236714027822	8.60722313487745e-06	0.00785945481136405	0.00736471222507496
GO:0016072	259	0.812032549594372	1.87091196723873	1.05553267113754e-05	0.00785945481136405	0.00736471222507496
GO:0002703	208	0.83720716138001	1.88633197307725	1.58356711785345e-05	0.0104480239397931	0.00979033425143083
GO:0002381	67	0.931994151434594	1.91336939530668	1.95558096440393e-05	0.0116122397666305	0.0108812641871991
GO:0002456	96	0.914223140104022	1.91565304723757	2.82661326000806e-05	0.0152501194550922	0.0142901440214882
GO:0002821	106	0.9023453455771	1.9027091900635	3.08186987977612e-05	0.0152501194550922	0.0142901440214882
GO:0022613	442	0.72173774678248	1.74260587876597	3.56179630463019e-05	0.0162691895822262	0.0152450649929354
GO:0034470	411	0.722468416832639	1.75326963645062	4.29701360271239e-05	0.0182254762663616	0.0170782059428103
GO:0002705	121	0.891545613231499	1.9270072520474	4.69787396695506e-05	0.0185973170771861	0.0174266398521575
GO:0002824	100	0.906604891971427	1.90183760950922	5.14141212233104e-05	0.0190810657390011	0.0178799371570013
GO:0002709	75	0.927392735072592	1.93626668743976	6.31355425606571e-05	0.0208277139847323	0.0195166361389259
GO:0001910	71	0.917684525026761	1.89526420693829	6.24891035583295e-05	0.0208277139847323	0.0195166361389259
GO:0001906	131	0.875558672354217	1.90491117081486	9.51477735470996e-05	0.0297361831222462	0.0278643285855938
GO:0042273	73	0.916068657312005	1.90405859299711	0.000115613543008039	0.0343256609190867	0.0321649046494996
GO:0060193	55	-0.976554235019754	-1.83898815683987	0.000130291358830346	0.035166822215209	0.0329531159223546
GO:1903039	247	0.782522485863145	1.7907794247667	0.000125489818308287	0.035166822215209	0.0329531159223546
GO:0050870	227	0.789577642355015	1.81832160966699	0.000151932663024037	0.0392250501320319	0.0367558836038929
GO:0001819	402	0.712357264536698	1.71798420490288	0.000161091856134424	0.0398568100719253	0.0373478750669545
GO:0016045	13	0.981160901603057	1.71497038758923	0.000184546172320787	0.0438334068496332	0.0410741501847443
