NAME	GS.SIZE	ES	NES	NOM.p.val	FDR.q.val	FWER.p.val
GO:0002181	152	0.945865131635384	2.06321856225916	1.5420387708363e-15	9.15662622122595e-12	8.83669375624507e-12
GO:0042254	298	0.851620117499	1.97632170294475	4.62015644897142e-10	1.37172444969962e-06	1.32379640569476e-06
GO:0006364	221	0.86700947906166	1.97352453684092	9.41062472411472e-09	1.46806044783474e-05	1.41676642463568e-05
GO:0016072	259	0.841116785585199	1.94425100022678	9.88925865836807e-09	1.46806044783474e-05	1.41676642463568e-05
GO:0022613	442	0.78538808278873	1.88995126994222	1.80921216133842e-08	2.14862036280551e-05	2.07354758027923e-05
GO:0034470	411	0.770835363090437	1.84236691440898	1.6076737754747e-07	0.000159106114646147	0.000153546947959374
GO:0002708	102	0.910279032829836	1.8859202656236	3.71398449096711e-06	0.0031505199867661	0.00304044083741729
GO:0002706	150	0.868097089212429	1.88491570455649	8.14390663864659e-06	0.00604481470253543	0.00583360891326211
GO:0002703	208	0.825899095097682	1.87976207099138	1.07801229406571e-05	0.00711248555795801	0.00686397535543128
GO:0002824	100	0.895555499032998	1.85193657098376	1.37377805174029e-05	0.00752419370669526	0.0072612984239331
GO:0001910	71	0.917526350016445	1.83085146035677	1.39383851083947e-05	0.00752419370669526	0.0072612984239331
GO:0002705	121	0.888494996054581	1.84788532178672	1.78674043214257e-05	0.00884138723838549	0.00853246922156505
GO:0042274	75	0.92974220722636	1.89054160310829	2.01196825969628e-05	0.00919005194313577	0.00886895158363282
GO:0002821	106	0.887208769309462	1.84430519051713	3.09747278750094e-05	0.013137709580129	0.0126786780865828
GO:0001906	131	0.874979072119973	1.85968606917337	3.55553205430265e-05	0.0140751662256328	0.0135833800025429
GO:0002381	67	0.922337524900634	1.81983694074429	4.47090848017536e-05	0.015616620326636	0.0150709757065478
GO:0001819	402	0.721955020278693	1.72277903236987	4.21794662741266e-05	0.015616620326636	0.0150709757065478
GO:0042273	73	0.923193717875744	1.85682153810866	4.88386480853564e-05	0.0161113273517137	0.0155483976711509
GO:0002456	96	0.899474259003123	1.85439610086097	5.92572837476469e-05	0.0185194605733435	0.0178723907325313
GO:0001909	105	0.877161642790642	1.8257047001886	6.51691430019201e-05	0.0193487185572701	0.0186726744474975
GO:0002709	75	0.919999188927876	1.8707301098901	7.65566495253635e-05	0.0206633356764368	0.019941358852444
GO:0001913	43	0.95405028315813	1.79325247624007	7.48446023795909e-05	0.0206633356764368	0.019941358852444
GO:0002819	175	0.835132394638505	1.85117557195165	8.93447737077202e-05	0.0221103513730486	0.0213378158293377
GO:0042255	57	0.93717584583981	1.80993731407139	9.30883772863281e-05	0.0221103513730486	0.0213378158293377
GO:0031343	53	0.928516580500215	1.78502853292026	9.04362867653501e-05	0.0221103513730486	0.0213378158293377
GO:0000462	38	0.959583657763494	1.80596897806675	0.000133494058149177	0.0293588043440672	0.0283330078972367
GO:0030490	53	0.924567753840744	1.77743710331443	0.000130451458533242	0.0293588043440672	0.0283330078972367
GO:0050870	227	0.768098519332976	1.75801628328867	0.000155695183773356	0.0330185000445067	0.0318648338519605
GO:0001914	35	0.958228603075859	1.79029703525873	0.000173077184594231	0.0354390455903635	0.0342008055510342
GO:0002822	159	0.840361467637314	1.84094062369109	0.000216061033560231	0.0397665289512099	0.0383770866693351
GO:0022618	195	0.807899949959338	1.82277335371461	0.000205757454114093	0.0397665289512099	0.0383770866693351
GO:0002711	51	0.942944872738102	1.79714151906609	0.000220999571470179	0.0397665289512099	0.0383770866693351
GO:0019882	101	0.854280943570488	1.76879697982522	0.000218823452302215	0.0397665289512099	0.0383770866693351
GO:0007608	16	0.984364946800726	1.69749604367013	0.000232920154327175	0.0406788198939637	0.0392575021720477
GO:0031341	82	0.894783120075738	1.83755286826072	0.000272835292316833	0.0436609633311828	0.0421354495355443
GO:0003014	91	-0.937762488046881	-1.82953110989486	0.000279406636339667	0.0436609633311828	0.0421354495355443
GO:0071826	203	0.795823527618909	1.8015835331848	0.000263031487137089	0.0436609633311828	0.0421354495355443
GO:1903037	326	0.730802844688756	1.7156615788747	0.000273691428325352	0.0436609633311828	0.0421354495355443
